year,entries,titles
2018,411,296,411,296,411,296
2017,411,296,411,296,438,314
2016,411,296,438,314,441,318
2015,438,314,441,318,342,235
2014,441,318,342,235,418,287
2013,342,235,418,287,375,251
2012,418,287,375,251,427,284
2011,375,251,427,284,401,272
2010,427,284,401,272,389,245
2009,401,272,389,245,491,204
2008,389,245,491,204,389,179
2007,491,204,389,179,318,209
2006,389,179,318,209,272,143
2005,318,209,272,143,346,209
2004,272,143,346,209,250,143
2003,346,209,250,143,226,130
2002,250,143,226,130,208,131
2001,226,130,208,131,167,110
2000,208,131,167,110,162,102
1999,167,110,162,102,145,109
