http://www.stat.go.jp/data/shakai/2016/rank/index.html,,,,,,,,,,,,,,,,,,,
秋田県,8.02,大阪府,10.6,北海道,2.38,東京都,78.5,沖縄県,19.6,東京都,49.6,東京都,15,長崎県,12.8,熊本県,6.26,滋賀県,33.9
青森県,7.59,北海道,10.5,山口県,2.37,愛知県,78.5,愛知県,16.4,神奈川県,43.9,神奈川県,14,熊本県,12,福島県,6.22,岐阜県,33.4
山形県,7.56,青森県,10.4,鳥取県,2.34,神奈川県,78,滋賀県,15.9,千葉県,42.4,奈良県,13.2,島根県,11.8,岩手県,6.2,島根県,33.1
岩手県,7.54,千葉県,10.2,高知県,2.32,埼玉県,77.9,石川県,15,埼玉県,41.7,埼玉県,12.9,広島県,11.7,青森県,6.18,熊本県,32.7
島根県,7.53,東京都,10.2,宮崎県,2.32,滋賀県,77.6,福岡県,14.7,京都府,40.6,兵庫県,12.2,山口県,11.6,佐賀県,6.14,佐賀県,32.6
宮崎県,7.53,京都府,10.1,青森県,2.31,千葉県,77.4,富山県,14.4,奈良県,40.4,大阪府,11.8,高知県,11.5,沖縄県,6.13,鹿児島県,32.6
高知県,7.52,三重県,9.8,長崎県,2.3,富山県,76.1,京都府,13.8,大阪府,40.1,群馬県,11.5,鹿児島県,11.4,新潟県,6.11,富山県,32.4
北海道,7.51,福岡県,9.8,香川県,2.29,奈良県,75.6,三重県,13.7,宮城県,39.4,千葉県,11.5,和歌山県,11.3,群馬県,6.09,長野県,32.3
福島県,7.5,宮崎県,9.8,大分県,2.29,三重県,75.2,千葉県,13.4,愛知県,38.7,京都府,11,大分県,11.1,山形県,6.08,福井県,32.2
新潟県,7.48,宮城県,9.7,徳島県,2.28,群馬県,75,大阪府,13.2,兵庫県,38,富山県,10.8,沖縄県,11.1,福井県,6.08,鳥取県,32.2
鹿児島県,7.48,滋賀県,9.7,愛媛県,2.27,岐阜県,75,東京都,13,北海道,37.8,栃木県,10.7,山形県,10.8,長野県,6.08,山形県,32.1
福井県,7.47,和歌山県,9.7,秋田県,2.24,山梨県,74.2,大分県,12.9,岡山県,37.8,長野県,10.7,宮崎県,10.8,富山県,6.07,石川県,31.6
長野県,7.47,愛知県,9.6,新潟県,2.24,宮城県,74.1,神奈川県,12.8,富山県,37,岐阜県,10.5,佐賀県,10.7,鳥取県,6.07,岡山県,30.8
宮城県,7.46,兵庫県,9.4,大阪府,2.24,石川県,73.9,栃木県,12.7,滋賀県,37,茨城県,10.1,兵庫県,10.4,福岡県,6.07,岩手県,30.2
和歌山県,7.46,神奈川県,9.3,和歌山県,2.24,兵庫県,73.9,岐阜県,12.7,静岡県,36.5,山梨県,9.9,滋賀県,10.2,北海道,6.06,大分県,29.8
鳥取県,7.45,埼玉県,9.1,広島県,2.24,福井県,73.6,岡山県,12.7,長野県,36.4,滋賀県,9.6,岡山県,10.1,石川県,6.06,山梨県,29.7
佐賀県,7.45,茨城県,8.9,福島県,2.23,福岡県,73.6,熊本県,12.7,福岡県,36,新潟県,9.4,鳥取県,10,香川県,6.05,静岡県,29.4
大分県,7.45,石川県,8.8,福岡県,2.23,長野県,73.5,広島県,12.5,広島県,35.9,福島県,9.2,石川県,9.9,長崎県,6.03,宮崎県,29.1
富山県,7.44,愛媛県,8.8,熊本県,2.23,静岡県,73.5,兵庫県,12.3,茨城県,35.7,福井県,9.2,徳島県,9.8,秋田県,6.01,三重県,29
