year,開催県,実行委員,参加者,アウトドアセッション,演題数
2018,福井,塚本 良太（三菱電機）、米田 貴雄（三菱電機）、策力 木格（電気通信大学）、宮路 祐一（豊橋技術科学大学）、齋藤 孝道（明治大学）、川井 明（滋賀大学）、榎堀 優（名古屋大学）、藤枝 俊輔（東京大学）、金岡 晃（東邦大学）、梶 克彦（愛知工業大学）、鈴木 浩（神奈川工科大学）、砂原 秀樹（慶應義塾大学）、小林 信博（三菱電機）、小関 義博（三菱電機）、長谷川 俊夫（三菱電機）、松本 光弘（三菱電機）、立床 雅司（三菱電機）、出原 章雄（三菱電機）、氏家 純也（三菱電機）、徳永 雄一（三菱電機）、平井 規郎（三菱電機）、坂崎 尚生（日立製作所）,,,
2017,北海道,藤本 章宏（和歌山大学）、米田 貴雄（三菱電機）、横田 耕一（富士通研究所）、策力木 格（電気通信大学）、千田 浩司（日本電信電話）、徳永 雄一（三菱電機）、榎堀 優（名古屋大学）、廣井 慧（名古屋大学）、藤枝 俊輔（東京大学）、寺田 直美（情報通信研究機構）、金岡 晃（東邦大学）、今野 将（千葉工業大学）、阿倍 博信（東京電機大学）、砂原 秀樹（慶應義塾大学）、本田 新九郎（日本電信電話）、北上 眞二（福井工業大学）、坂崎 尚生（日立）、来間 一郎（日立）、伊藤 信治（日立）、若林 正樹（日立）、廣岡 孝志（日立）、森田 伸義（日立）、三上 修吾（日立）、礒川 弘実（日立）、安細 康介（日立）,,水族館,
2016,三重,井上亮文(東京工科大学)、北村操代(三菱電機)、長田俊明(東北大学)、宮路祐一(豊橋技術科学大学)、細井琢朗(東京大学)、梅津高朗(滋賀大学)、榎堀優(名古屋大学)、藤枝俊輔(東京大学)、安東孝二(mokha)、山本太郎(NTT)、烏谷彰(富士通研究所)、阿倍博信(三菱電機)、砂原秀樹(慶應義塾大学)、伊藤雅弘(東芝)、岡本昌之(東芝)、田添宏治(東芝)、西本寛(東芝)、南圭祐(東芝)、村上貴臣(東芝)、毛カイ毅(東芝)、米澤祐紀(東芝),,,
2015,岩手,安次富大介(東芝)、阿倍博信(三菱電機)、安東孝二(mokha)、井上亮文(東京工科大学)、内山彰(大阪大学)、榎堀優(名古屋大学)、岡崎直宣(宮崎大学)、清原良三(神奈川工科大学)、鈴木秀和(名城大学)、山本太郎(NTT)、米田貴雄(三菱電機)、砂原秀樹(慶応大学)、秋好一平(日本電気)、荒木俊則(日本電気)、安藤玲未(日本電気)、井ノ口真樹(日本電気)、岩松洋介(日本電気)、大西健夫(日本電気)、黒田貴之(日本電気)、中島一彰(日本電気)、西原康介(日本電気)、森田基樹(日本電気)、小川隆一(日本電気)、柏谷篤(日本電気),,,
2014,新潟,阿倍博信(三菱電機)、安東孝二(mokha)、猪俣敦夫(NAIST)、榎堀優(名古屋大)、大谷拓郎(富士通研)、斉藤裕樹(明治大学)、重野寛(慶應大)、鈴木秀和(名城大)、鈴木浩(富士通研)、砂原秀樹（慶應大）、関洋平(富士通研)、鳥居悟(富士通研)、野村佳秀(富士通研)、花田雄一(富士通研)、本多聡美(富士通研)、宗像一樹(富士通研)、村尾和哉(立命館大)、森信一郎(富士通研)、森川郁也(富士通研)、柳沼義典(富士通研)、山本太郎(NTT)、米田貴雄(三菱電機),411,,296
2013,北海道,阿倍博信 (三菱電機)、安東孝二（mokha）、市川裕介 (NTT)、 太田賢 (NTTドコモ)、大村廉（豊橋技科大)、勝本道哲（勝本総合研究所)、 金岡晃（東邦大）、斉藤典明(NTT)、重野寛（慶應大）、白石陽（はこだて未来大)、 鈴木秀和（名城大）、砂原秀樹（慶應大）、三上弾(NTT)、峰野博史（静岡大）、 村尾和哉（神戸大）、山本太郎 (NTT)、横山正典(NTT)、米田貴雄（三菱電機）,438,,314
2012,石川,阿倍博信（三菱電機）、石原丈士（東芝）、大村廉（豊橋技科大）、 岡原弘典（三菱電機）、勝本道哲(NICT)、金井秀明（北陸先端大学院大）、 小口正人（お茶の水大）、砂原秀樹(慶應大/奈良先端大)、 土井裕介（東芝）、東村邦彦（日立）、峰野博史（静岡大学）、 山本太郎（NTT）、吉田正幸（日立）、渡辺龍（KDDI研究所）,441,,318
2011,京都,阿倍博信(三菱電機)、石原丈士（東芝）、岡原弘典（三菱電機）、小口正人（お茶の水大学）、斉藤裕樹（東京電機大学）、竹森敬祐（KDDI研究所）、土井裕介（東芝）、長谷川亨（KDDI研究所）、峰野博史（静岡大学）、前田義信（新潟大学）、山本太郎（NTT）、砂原秀樹(慶應大/奈良先端大),342,,235
2010,岐阜,斉藤裕樹(東京電機大)、岡原弘典(三菱電機)、義久智樹(大阪大)、 石原丈士(東芝)、松尾俊彦(NTTデータ)、竹森敬祐(KDDI研究所)、 梅津高朗(大阪大)、川原圭博(東京大)、新井イスマイル(立命館大)、 土井裕介(東芝/東京大)、阿倍博信(三菱電機)、野秋浩三(NTTドコモ)、 砂原秀樹(慶應大/奈良先端大)、峰野博史(静岡大)、渡邊晃(名城大)、 清原良三(三菱電機)、寺島美昭(三菱電機)、平井規郎(三菱電機),418,温泉散策,287
2009,大分,横山和俊(NTTデータ)、岡原弘典(三菱電機)、清原良三(三菱電機)、神崎映光(大阪大学)、下川俊彦(九州産業大)、松尾俊彦(NTTデータ)、田坂和之 (KDDI研究所)、斉藤健(東芝)、大内一成(東芝)、砂原秀樹(慶應大/奈良先端大)、安東孝二(東京大)、阿倍博信(三菱電機)、谷口展郎(NTT)、西垣正勝(静岡大)、吉田和幸(大分大)、木下聡(東芝)、加藤(東芝ソリューション)、岡本昌之(東芝),375,,251
2008,北海道,上原稔(東洋大)、岡本昌之(東芝)、安東孝二(東大)、河口信夫（名大）、 清原良三（三菱電機）、加藤岳久(東芝ソリューション)、下川俊彦（九州産業大）、 梅津高朗（大阪大）、砂原秀樹(慶應大/奈良先端大)、今野将(千葉工大)、 寺田努(神戸大)、阿倍博信 (三菱電機)、谷口展郎（NTT）、棟朝雅晴（北海道大）、 山室雅司（NTT）、中嶋正臣（NTTデータ）、小林伸幸（NTT）、 与那原亨（NTTデータ）,427,,284
2007,三重,加藤由花（産業技術大学院大），新井克也（NTT）， 北口善明（インテック・ネットコア），河口信夫（名古屋大），山口弘純（大阪大）， 宇田隆哉（東京工科大），児島史秀（情報通信研究機構）， 砂原秀樹（奈良先端科学技術大学院大），今野将（東北大），阿倍博信（三菱電機）， 藤野信次（富士通研究所），森信一郎（富士通研究所），中山裕子（富士通研究所）， 岸上順一（NTT），柏谷篤（日本電気），垂水浩幸（香川大），塚本昌彦（神戸大）,401,,272
