,特産物(http://rinooto2016.org/#hokkaido),温泉の数_2015(https://www.kankokeizai.com/image/2017pdf/20170408_06.pdf),美人が多いと思う投票数(https://twitfukuoka.com/?p=32041)切り上げ,美男子がおおいと思う投票数(https://twitfukuoka.com/?p=32041)切り上げ,Jリーガーの数,男余り率(https://note.mu/wildriverpeace/n/nba3283730f78),睡眠時間,"スマホ・パソコン大好き(1日６時間以上使用
した人の割合)",メディアに夢中(時間/分),旅行好き(行動者率),ボーリングが人気(行動者数),読書が人気(行動者数),山登りが人気(行動者数),釣り人が多い(行動者数),長く働く(時間),ボランティア熱心(行動者数)
北海道,サッポロ味噌ラーメン、夕張メロン、スープカレー、白い恋人、かに鮨、いかめし、毛ガニ、タラバガニ、ジンギスカン、生キャラメル、十勝ワイン、ししゃも、干したこ,245,40,30,37,8.5,7.51,10.5,2.38,69.1,11.7,37.8,5.5,8.6,6.06,22.6
青森県,津軽リンゴ、大間のマグロ、ホタテ、干しイカ,133,20,20,5,12.8,7.59,10.4,2.31,59.4,9.3,29.7,5.1,8.9,6.18,22.4
岩手県,かもめの玉子、わんこそば、盛岡冷麺、三食せんべい,79,20,10,8,12.9,7.54,8.5,2.11,65.7,8.8,33.9,6.7,9.3,6.2,30.2
秋田県,きりたんぽ、しょっつる、横手焼きそば、比内地鶏、稲庭うどん,82,100,10,4,13.3,8.02,8.5,2.24,68.5,7.3,31.5,6.7,7.5,6.01,27.2
山形県,いも煮、山形そば、米沢牛、さくらんぼ、ラフランス,88,20,10,6,16.6,7.56,8.2,2.21,72.5,10.9,32.1,7.8,10.8,6.08,32.1
宮城県,牛タン、笹かまぼこ、萩の月、なまどら,132,10,20,14,9.8,7.46,9.7,2.11,74.1,11.1,39.4,7,8.9,6,26.7
福島県,喜多方ラーメン、ずわいがに、桃、こんにゃく,52,10,10,3,14.6,7.5,8.6,2.23,70.3,10.7,33.9,9.2,6.5,6.22,28.1
東京都,雷おこし、東京ばな奈、ごまたまご、もんじゃ焼き,26,30,90,151,6.8,7.35,10.2,1.55,78.5,13,49.6,15,6.9,5.39,21.6
神奈川県,かまぼこ、鳩サブレ、崎陽軒、中華まん、よこすか焼き,33,20,60,138,13,7.33,9.3,2.03,78,12.8,43.9,14,6.9,5.55,25.5
埼玉県,草加せんべい、五家宝、十万石饅頭,27,10,20,107,13.4,7.31,9.1,2.15,77.9,12.2,41.7,12.9,6.8,5.43,24.2
